C:\Users\Brian\Downloads\Alpaca\GitHub\Crypto-Bot>python backtester.py --symbols BTC,ETH --days 90
2025-08-12 03:49:36,311 - __main__ - INFO -
=== Backtesting BTC ===
2025-08-12 03:49:36,311 - data_fetcher - INFO - ⚡ Trying Coinbase for BTC
2025-08-12 03:49:36,461 - data_fetcher - INFO - Fetching Coinbase chunk 1: 2025-05-14T08:49:36.461311 → 2025-05-16T10:49:36.461311
2025-08-12 03:49:36,601 - data_fetcher - INFO - Fetching Coinbase chunk 2: 2025-05-16T10:49:36.461311 → 2025-05-18T12:49:36.461311
2025-08-12 03:49:37,271 - data_fetcher - INFO - Fetching Coinbase chunk 3: 2025-05-18T12:49:36.461311 → 2025-05-20T14:49:36.461311
2025-08-12 03:49:37,701 - data_fetcher - INFO - Fetching Coinbase chunk 4: 2025-05-20T14:49:36.461311 → 2025-05-22T16:49:36.461311
2025-08-12 03:49:37,921 - data_fetcher - INFO - Fetching Coinbase chunk 5: 2025-05-22T16:49:36.461311 → 2025-05-24T18:49:36.461311
2025-08-12 03:49:38,181 - data_fetcher - INFO - Fetching Coinbase chunk 6: 2025-05-24T18:49:36.461311 → 2025-05-26T20:49:36.461311
2025-08-12 03:49:38,561 - data_fetcher - INFO - Fetching Coinbase chunk 7: 2025-05-26T20:49:36.461311 → 2025-05-28T22:49:36.461311
2025-08-12 03:49:39,221 - data_fetcher - INFO - Fetching Coinbase chunk 8: 2025-05-28T22:49:36.461311 → 2025-05-31T00:49:36.461311
2025-08-12 03:49:39,491 - data_fetcher - INFO - Fetching Coinbase chunk 9: 2025-05-31T00:49:36.461311 → 2025-06-02T02:49:36.461311
2025-08-12 03:49:39,781 - data_fetcher - INFO - Fetching Coinbase chunk 10: 2025-06-02T02:49:36.461311 → 2025-06-04T04:49:36.461311
2025-08-12 03:49:40,231 - data_fetcher - INFO - Fetching Coinbase chunk 11: 2025-06-04T04:49:36.461311 → 2025-06-06T06:49:36.461311
2025-08-12 03:49:40,515 - data_fetcher - INFO - Fetching Coinbase chunk 12: 2025-06-06T06:49:36.461311 → 2025-06-08T08:49:36.461311
2025-08-12 03:49:40,861 - data_fetcher - INFO - Fetching Coinbase chunk 13: 2025-06-08T08:49:36.461311 → 2025-06-10T10:49:36.461311
2025-08-12 03:49:41,251 - data_fetcher - INFO - Fetching Coinbase chunk 14: 2025-06-10T10:49:36.461311 → 2025-06-12T12:49:36.461311
2025-08-12 03:49:41,651 - data_fetcher - INFO - Fetching Coinbase chunk 15: 2025-06-12T12:49:36.461311 → 2025-06-14T14:49:36.461311
2025-08-12 03:49:41,961 - data_fetcher - INFO - Fetching Coinbase chunk 16: 2025-06-14T14:49:36.461311 → 2025-06-16T16:49:36.461311
2025-08-12 03:49:42,231 - data_fetcher - INFO - Fetching Coinbase chunk 17: 2025-06-16T16:49:36.461311 → 2025-06-18T18:49:36.461311
2025-08-12 03:49:42,671 - data_fetcher - INFO - Fetching Coinbase chunk 18: 2025-06-18T18:49:36.461311 → 2025-06-20T20:49:36.461311
2025-08-12 03:49:42,951 - data_fetcher - INFO - Fetching Coinbase chunk 19: 2025-06-20T20:49:36.461311 → 2025-06-22T22:49:36.461311
2025-08-12 03:49:43,641 - data_fetcher - INFO - Fetching Coinbase chunk 20: 2025-06-22T22:49:36.461311 → 2025-06-25T00:49:36.461311
2025-08-12 03:49:43,881 - data_fetcher - INFO - Fetching Coinbase chunk 21: 2025-06-25T00:49:36.461311 → 2025-06-27T02:49:36.461311
2025-08-12 03:49:44,201 - data_fetcher - INFO - Fetching Coinbase chunk 22: 2025-06-27T02:49:36.461311 → 2025-06-29T04:49:36.461311
2025-08-12 03:49:44,731 - data_fetcher - INFO - Fetching Coinbase chunk 23: 2025-06-29T04:49:36.461311 → 2025-07-01T06:49:36.461311
2025-08-12 03:49:44,991 - data_fetcher - INFO - Fetching Coinbase chunk 24: 2025-07-01T06:49:36.461311 → 2025-07-03T08:49:36.461311
2025-08-12 03:49:45,301 - data_fetcher - INFO - Fetching Coinbase chunk 25: 2025-07-03T08:49:36.461311 → 2025-07-05T10:49:36.461311
2025-08-12 03:49:45,931 - data_fetcher - INFO - Fetching Coinbase chunk 26: 2025-07-05T10:49:36.461311 → 2025-07-07T12:49:36.461311
2025-08-12 03:49:46,381 - data_fetcher - INFO - Fetching Coinbase chunk 27: 2025-07-07T12:49:36.461311 → 2025-07-09T14:49:36.461311
2025-08-12 03:49:46,501 - data_fetcher - INFO - Fetching Coinbase chunk 28: 2025-07-09T14:49:36.461311 → 2025-07-11T16:49:36.461311
2025-08-12 03:49:47,241 - data_fetcher - INFO - Fetching Coinbase chunk 29: 2025-07-11T16:49:36.461311 → 2025-07-13T18:49:36.461311
2025-08-12 03:49:47,701 - data_fetcher - INFO - Fetching Coinbase chunk 30: 2025-07-13T18:49:36.461311 → 2025-07-15T20:49:36.461311
